"full_name","e","a","i","om","w","ma","per_y"
"312956 (1997 CZ3)",0.5407,1.406,6.61,314.20,33.61,313.74,1.67
"313538 (2002 YB12)",0.5510,1.687,14.03,271.00,306.13,280.29,2.19
"313552 (2003 BX33)",0.4226,1.182,7.92,143.14,221.28,42.54,1.29
"313809 (2004 BH41)",0.5001,1.195,30.44,123.19,200.37,87.24,1.31
"314079 (2005 CV25)",0.3109,1.257,23.87,326.69,357.42,163.30,1.41
"314082 Dryope (2005 CZ36)",0.5766,2.235,16.18,116.62,139.53,272.32,3.34
"314212 (2005 NJ1)",0.6511,2.132,6.46,316.16,82.62,45.75,3.11
"317255 (2002 DJ5)",0.5678,1.401,6.43,347.86,296.19,161.26,1.66
"317643 (2003 FH1)",0.4397,1.184,14.64,40.19,29.19,330.11,1.29
"318411 (2005 AH14)",0.6106,2.316,12.82,59.27,192.77,195.81,3.53
"319988 (2007 DK)",0.5505,1.396,5.18,290.80,355.10,180.00,1.65
"322705 (2000 DK8)",0.6904,2.525,12.72,102.71,340.86,61.38,4.01
"322763 (2001 FA7)",0.5360,2.007,22.83,352.36,62.67,167.22,2.84
"323179 (2003 HR32)",0.6869,1.748,8.28,341.92,352.74,64.20,2.31
"323300 (2003 UD22)",0.3184,1.169,10.08,253.78,23.54,288.24,1.26
"326302 (1998 VN)",0.3448,1.387,12.03,227.93,245.97,277.24,1.63
"326354 (2000 SJ344)",0.1748,1.141,5.75,14.74,18.86,258.33,1.22
"326386 (2001 OA14)",0.4216,1.089,29.24,309.51,144.40,55.93,1.14
"326388 (2001 QD96)",0.4963,1.274,17.96,330.28,145.78,275.58,1.44
"329275 (1999 VP6)",0.3046,1.378,12.82,227.09,108.91,179.54,1.62
"329338 (2001 JW2)",0.4885,1.698,9.59,247.22,87.94,166.58,2.21
"329395 (2002 AC)",0.6464,2.257,34.78,72.86,132.23,241.99,3.39
"329614 (2003 KU2)",0.6770,2.69,5.40,105.21,246.81,272.06,4.41
"329770 (2004 JA)",0.6285,1.356,29.59,56.86,54.36,20.05,1.58
"329774 (2004 LE)",0.8370,2.648,40.40,211.54,185.24,239.08,4.31
"330233 (2006 KV86)",0.3740,1.543,37.08,220.04,153.86,90.72,1.92
"330809 (2008 VK14)",0.5057,1.542,6.91,308.15,30.06,143.62,1.91
"331471 (1984 QY1)",0.8934,2.502,14.28,142.26,337.17,53.30,3.96
"331876 (2004 CL)",0.5362,1.284,13.31,109.39,274.69,123.38,1.46
"331990 (2005 FD)",0.3941,1.461,11.33,13.34,270.95,330.49,1.77
"332408 (2007 MM13)",0.5683,1.401,38.21,242.57,294.46,191.11,1.66
"332446 (2008 AF4)",0.4101,1.38,8.93,109.31,293.35,146.62,1.62
"332775 (2009 VO24)",0.4619,1.547,6.06,163.67,343.58,220.38,1.92
"333480 (2004 TC10)",0.4072,1.121,14.11,16.42,136.02,215.43,1.19
"333510 (2005 MD)",0.6077,1.759,20.74,188.92,202.54,52.95,2.33
"333521 (2005 PO)",0.3731,1.252,12.51,300.48,249.55,346.44,1.4
"333578 (2006 KM103)",0.3766,1.573,11.68,169.45,197.03,35.66,1.97
"333707 (2008 YT30)",0.2755,1.27,16.14,269.54,334.17,234.72,1.43
"333755 (2010 VC1)",0.5585,1.156,20.96,182.22,2.26,353.20,1.24
"334673 (2003 AL18)",0.4165,1.685,15.72,312.88,246.72,307.33,2.19
"337053 (1996 XW1)",0.4543,1.725,30.59,247.81,264.66,68.01,2.27
"337075 (1998 QC1)",0.5901,1.984,9.65,308.34,115.47,101.77,2.79
"337118 (1999 TX2)",0.4639,1.281,61.37,179.94,53.54,169.32,1.45
"337252 (2000 SD8)",0.3138,1.129,6.55,19.04,211.64,115.70,1.2
"337558 (2001 SG262)",0.5829,1.962,4.82,359.03,100.26,115.78,2.75
"338049 (2002 NY31)",0.5458,2.212,40.93,118.03,282.87,239.81,3.29
"339714 (2005 ST1)",0.3710,1.451,20.23,7.55,80.69,279.16,1.75
"339715 (2005 SS4)",0.7515,1.46,14.56,28.63,192.33,344.17,1.76
"340291 (2006 CV)",0.3822,1.147,20.19,330.37,284.69,9.20,1.23
"342866 (2008 YU32)",0.5955,1.537,3.41,232.57,83.97,142.65,1.91
"343158 Marsyas (2009 HC82)",0.8067,2.527,154.35,295.50,299.00,349.24,4.02
"343166 (2009 SO103)",0.6635,2.004,29.48,194.65,304.63,57.00,2.84
"344076 (1998 HJ3)",0.7463,1.985,6.56,223.55,94.19,137.52,2.8
"345813 (2007 HX4)",0.3319,1.318,56.56,41.67,14.55,300.76,1.51
"347634 (2001 SW269)",0.5542,1.122,24.46,191.22,29.48,251.63,1.19
"348314 (2005 BC)",0.2781,1.19,30.12,292.45,84.20,123.73,1.3
"348461 (2005 SH19)",0.8554,2.27,47.99,18.34,158.47,149.47,3.42
"348776 (2006 KZ37)",0.2088,1.285,21.37,95.66,243.24,151.81,1.46
"349063 (2006 XA)",0.5474,2.197,10.32,252.73,301.06,145.78,3.26
"349068 (2006 YT13)",0.4258,1.323,38.24,116.69,105.45,205.04,1.52
"349074 (2007 BM8)",0.7208,1.342,27.64,87.62,179.28,89.45,1.55
"349219 (2007 SV11)",0.4939,1.734,32.22,292.21,23.75,176.56,2.28
"349507 (2008 QY)",0.5817,1.168,13.56,1.91,254.90,338.34,1.26
"349925 (2009 WC26)",0.6973,2.171,12.02,203.05,350.92,190.26,3.2
"349928 (2009 WD106)",0.7764,1.933,10.98,294.53,16.72,217.83,2.69
"350523 (2000 EA14)",0.2026,1.117,3.56,203.83,206.06,39.54,1.18
"350751 (2002 AW)",0.2567,1.072,0.57,161.76,119.33,42.35,1.11
"350988 (2003 GW)",0.4763,1.821,49.43,183.16,90.62,221.49,2.46
"351278 (2004 SB20)",0.4134,1.183,30.27,30.90,209.41,298.54,1.29
"351331 (2004 XH29)",0.5030,1.381,22.64,232.04,334.14,15.84,1.62
"351340 (2004 YC5)",0.6173,1.929,11.39,334.56,27.17,166.51,2.68
"351370 (2005 EY)",0.8921,2.512,17.26,62.41,185.80,312.79,3.98
"351545 (2005 TE15)",0.3437,1.205,13.13,10.86,241.17,213.95,1.32
"352102 (2007 AG12)",0.6565,2.09,41.97,305.39,68.23,354.95,3.02
"353947 (1999 CT8)",0.3941,1.25,44.49,337.12,40.07,211.90,1.4
"354101 (2001 YF1)",0.3395,1.486,20.02,279.41,289.95,138.30,1.81
"354182 (2002 DU3)",0.2383,1.145,8.71,0.61,245.59,102.40,1.23
"354876 (2006 BG55)",0.5982,1.471,12.45,140.90,167.66,50.48,1.78
"355046 (2006 SO19)",0.2722,1.243,14.24,98.29,169.77,75.44,1.39
"356394 (2010 QD2)",0.7861,2.009,10.66,120.56,125.98,12.48,2.85
"356991 (1998 QA1)",0.5339,2.102,8.19,298.85,333.15,223.83,3.05
"357005 (1999 HA2)",0.7024,2.781,15.21,147.19,344.46,184.01,4.64
"357022 (1999 YG3)",0.3295,1.285,34.52,293.25,250.24,318.54,1.46
"357024 (1999 YR14)",0.4000,1.651,3.73,2.98,9.70,285.74,2.12
"357028 (2000 EJ26)",0.6147,1.383,9.23,10.48,285.90,347.63,1.63
"357439 (2004 BL86)",0.4025,1.502,23.78,126.65,311.51,120.93,1.84
"357594 (2004 XL35)",0.2784,1.355,27.30,73.75,356.21,210.77,1.58
"357618 (2005 EM30)",0.3367,1.203,53.08,1.80,293.05,199.22,1.32
"357621 (2005 EG94)",0.4646,1.604,10.74,332.01,38.45,17.49,2.03
"357622 (2005 EY95)",0.5384,1.084,3.17,72.86,342.14,197.54,1.13
"358453 (2007 EH88)",0.4411,1.123,12.09,3.79,324.32,143.50,1.19
"358471 (2007 NS4)",0.5972,1.875,5.78,10.96,47.58,213.25,2.57
"358744 (2008 CR118)",0.5118,1.842,3.92,121.42,157.22,180.30,2.5
"359170 (2009 CN5)",0.4655,1.545,11.91,349.71,53.25,97.78,1.92
"359242 (2009 FT)",0.7240,1.571,14.56,90.66,220.65,284.53,1.97
"359369 (2009 YG)",0.6960,2.15,3.38,138.62,67.77,237.63,3.15
"360191 (1988 TA)",0.4786,1.54,2.53,194.65,105.26,329.39,1.91
"360433 (2002 JR9)",0.6353,2.39,9.79,122.48,204.36,4.96,3.69
"361518 (2007 FD)",0.6022,2.06,6.95,222.48,183.56,62.73,2.96
"361538 (2007 JZ20)",0.3351,1.311,40.48,200.48,139.03,155.44,1.5
"361689 (2007 VY7)",0.5033,1.816,6.36,108.02,9.62,306.33,2.45
"361754 (2007 YV29)",0.3568,1.373,21.88,59.30,321.87,201.77,1.61
"361861 (2008 ED69)",0.7394,2.91,36.36,149.50,173.28,104.66,4.96
"362310 (2009 UM3)",0.7859,2.44,12.73,162.42,128.77,356.35,3.81
"363024 (1998 OK1)",0.4293,1.356,13.99,109.64,298.64,160.98,1.58
"363067 (2000 CO101)",0.0901,1.076,15.32,353.03,64.95,125.28,1.12
"363071 (2000 GD147)",0.5500,1.893,7.09,357.38,182.47,150.40,2.6
"363116 (2001 GQ2)",0.5030,1.214,21.82,37.11,280.30,153.15,1.34
"363267 (2002 GS)",0.4037,1.353,19.76,34.71,264.18,58.24,1.57
"363298 (2002 KL3)",0.7484,1.952,20.77,73.12,293.41,43.51,2.73
"363305 (2002 NV16)",0.2208,1.239,3.50,183.26,179.24,12.50,1.38
"363344 (2002 QC7)",0.1960,1.169,26.80,336.01,184.47,354.54,1.26
"363599 (2004 FG11)",0.7236,1.587,3.14,83.45,228.81,69.50,2
"363617 (2004 KK17)",0.5758,1.467,41.53,103.65,31.56,212.81,1.78
"363734 (2004 XN50)",0.7782,1.681,3.31,62.40,253.41,55.37,2.18
"363790 (2005 JE46)",0.5523,1.903,8.27,238.33,114.77,90.46,2.63
"363814 (2005 ND7)",0.4824,1.964,52.57,110.06,241.49,338.98,2.75
"363831 (2005 PY16)",0.5250,1.976,6.41,159.31,193.53,327.45,2.78
"364877 (2008 EM9)",0.8526,1.958,9.44,229.68,181.78,41.30,2.74
"365014 (2008 OX2)",0.6019,1.048,6.65,220.11,252.03,293.32,1.07
"365071 (2009 AV)",0.0739,1.03,45.87,150.73,322.13,79.79,1.04
"365246 (2009 NE)",0.8647,2.677,35.03,230.42,198.88,154.79,4.38
"366746 (2004 LJ)",0.4614,1.087,18.28,246.69,256.10,52.20,1.13
"366774 (2004 TB18)",0.4507,1.815,13.20,120.98,13.18,10.58,2.44
"367248 (2007 MK13)",0.1397,1.025,19.88,95.08,259.97,185.35,1.04
"367390 (2008 MB5)",0.3639,1.428,20.41,115.19,278.66,135.60,1.71
"367684 (2010 OS22)",0.6887,1.637,9.36,256.90,179.65,258.66,2.09
"367789 (2011 AG5)",0.3882,1.424,3.69,135.59,54.05,336.11,1.7
"368203 (2001 KO2)",0.6177,2.479,12.46,242.30,328.84,339.25,3.9
"368565 (2004 FE5)",0.6005,1.245,18.30,189.40,243.47,337.80,1.39
"369057 (2008 DK5)",0.6151,1.555,4.27,345.62,81.00,237.26,1.94
"369264 (2009 MS)",0.5700,2.005,52.38,252.05,219.54,269.44,2.84
"369296 (2009 SU19)",0.9000,2.079,14.62,172.66,342.62,307.18,3
"369452 (2010 LG14)",0.7427,1.045,34.21,271.28,182.85,114.71,1.07
"369454 (2010 NZ1)",0.6466,1.373,32.75,158.97,37.90,18.77,1.61
"369984 (1998 QR52)",0.2877,1.044,17.63,316.20,204.35,9.00,1.07
"370061 (2000 YO29)",0.6930,1.816,54.62,262.60,309.33,226.61,2.45
"370307 (2002 RH52)",0.4911,1.979,16.19,2.16,96.77,292.54,2.78
"371336 (2006 KD1)",0.7849,2.48,30.79,168.92,338.25,268.80,3.91
"371660 (2007 CN26)",0.2693,1.292,7.59,159.27,135.69,231.68,1.47
"373135 (2011 SD173)",0.4974,1.653,4.39,203.12,59.49,122.83,2.13
"373428 (1999 TC5)",0.5466,2.016,29.13,192.29,282.73,235.34,2.86
"373579 (2002 AW11)",0.3304,1.447,18.33,95.51,91.22,0.60,1.74
"374038 (2004 HW)",0.6353,2.691,0.83,219.87,62.78,223.39,4.41
"374158 (2004 UL)",0.9266,1.266,23.85,39.47,149.68,319.04,1.43
"374267 (2005 LW)",0.6405,1.467,3.14,138.08,354.79,357.94,1.78
"374851 (2006 VV2)",0.6054,2.387,23.73,9.82,145.04,280.26,3.69
"374855 (2006 VQ13)",0.4458,1.099,16.70,233.68,73.80,251.14,1.15
"375054 (2007 PF6)",0.4164,1.298,25.60,316.33,251.27,279.71,1.48
"375103 (2007 TD71)",0.2799,1.286,49.75,49.58,220.75,308.16,1.46
"375657 (2009 CP5)",0.3144,1.225,13.11,330.23,268.45,137.00,1.36
"376707 (1995 OO)",0.7785,2.155,23.52,348.79,212.06,138.08,3.16
"376788 (2000 RV37)",0.4959,1.041,16.33,330.31,210.99,33.65,1.06
"377097 (2002 WQ4)",0.5564,1.958,3.94,266.87,244.62,320.91,2.74
"377732 (2005 XJ8)",0.6204,1.931,23.56,115.79,67.46,337.57,2.68
"378124 (2006 VT2)",0.7230,1.263,31.84,59.42,152.67,141.38,1.42
"378358 (2007 LD)",0.4393,1.726,16.51,226.16,316.98,257.82,2.27
"378842 (2008 TD4)",0.6181,1.822,14.45,221.85,54.90,213.68,2.46
"380128 (1997 WB21)",0.3171,1.46,3.39,280.95,81.98,114.35,1.76
"380455 (2003 UL3)",0.7934,2.254,14.42,152.79,13.54,50.49,3.38
"380476 (2003 YO1)",0.3992,1.158,14.26,65.14,161.45,143.38,1.25
"380929 (2006 HU30)",0.4198,1.455,24.01,44.62,274.30,127.26,1.75
"381181 (2007 LV19)",0.3204,1.472,14.89,264.02,301.42,281.94,1.79
"381677 (2009 BJ81)",0.4558,1.851,5.84,108.47,90.68,71.34,2.52
"381906 (2010 CL19)",0.6455,1.543,7.31,243.78,76.82,271.11,1.92
"381989 (2010 HR80)",0.4956,1.347,26.71,6.22,291.31,40.16,1.56
"382395 (1990 SM)",0.7639,2.106,11.61,136.17,107.74,81.91,3.06
"382406 (1996 AJ1)",0.7814,1.31,2.54,90.94,238.33,121.03,1.5
"382745 (2003 CC)",0.3268,1.501,2.32,136.29,103.24,225.18,1.84
"382758 (2003 GY)",0.3172,1.38,4.67,321.79,334.15,36.00,1.62
"382825 (2003 XB22)",0.3935,1.405,29.96,108.76,118.29,94.91,1.67
"385252 (2001 EB18)",0.1837,1.053,50.06,155.46,101.92,231.63,1.08
"385343 (2002 LV)",0.6052,2.314,29.53,132.15,224.23,100.45,3.52
"385402 (2002 WZ2)",0.8844,2.461,51.27,261.27,48.20,254.36,3.86
"385497 (2004 DD)",0.4592,1.589,11.58,3.69,8.59,208.10,2
"385605 (2005 EJ225)",0.5736,1.706,8.86,341.99,290.71,230.95,2.23
"385843 (2006 JY25)",0.4792,1.126,6.86,63.93,321.72,41.77,1.19
"386259 (2008 EJ1)",0.5297,2.084,38.79,337.34,78.96,274.87,3.01
"386454 (2008 XM)",0.9093,1.222,5.45,240.61,27.39,301.03,1.35
"386504 (2009 BP58)",0.5553,1.445,12.57,83.56,194.05,300.70,1.74
"386847 (2010 LR33)",0.4625,1.692,5.83,352.07,333.22,169.15,2.2
"387505 (1998 KN3)",0.8734,1.542,2.29,313.24,71.25,248.78,1.92
"387668 (2002 SZ)",0.4335,1.297,22.89,346.84,276.56,22.88,1.48
"387717 (2003 DN4)",0.4769,1.145,36.32,157.78,141.61,142.54,1.23
"387746 (2003 MH4)",0.5133,1.964,3.90,259.55,323.53,287.43,2.75
"387793 (2003 WL25)",0.7417,2.395,23.76,267.10,25.02,269.65,3.71
"387871 (2004 RD252)",0.5999,2.101,10.39,288.06,174.72,186.85,3.05
"388188 (2006 DP14)",0.7762,1.365,11.77,317.11,59.34,277.05,1.59
"388798 (2008 BU2)",0.7246,1.307,38.41,115.29,212.88,175.30,1.49
"388945 (2008 TZ3)",0.3919,1.592,8.69,43.95,219.68,61.87,2.01
"389694 (2011 QD48)",0.4921,1.545,19.07,358.79,106.79,216.68,1.92
"390522 (1996 GD1)",0.3525,1.186,18.38,38.07,293.60,304.35,1.29
"390929 (2005 GP21)",0.2246,1.308,18.80,9.99,1.42,195.68,1.5
"391151 (2005 YY93)",0.8831,2.581,24.51,295.47,312.80,170.71,4.15
"391508 (2007 RV17)",0.6841,2.117,11.11,146.73,321.80,177.04,3.08
"392476 (2011 GD3)",0.6605,1.336,13.69,39.27,357.51,2.45,1.54
"392704 (2012 AE1)",0.4725,1.508,10.05,16.80,356.57,5.56,1.85
"393569 (2003 JC13)",0.3152,1.066,8.51,205.80,172.05,50.73,1.1
"393908 (2005 UH3)",0.5460,1.726,44.78,53.31,309.19,145.68,2.27
"394130 (2006 HY51)",0.9685,2.589,33.58,40.59,342.00,133.43,4.16
"394783 (2008 HD3)",0.3361,1.131,52.01,222.07,223.75,355.01,1.2
"395143 (2010 CN1)",0.4391,1.499,20.97,216.42,192.49,35.63,1.83
"395207 (2010 HQ80)",0.4893,1.568,27.85,218.47,66.30,79.78,1.96
"395289 (2011 BJ2)",0.3472,1.29,49.90,33.99,84.11,99.45,1.47
"396730 (2003 KX16)",0.5789,1.334,23.62,94.27,28.33,10.16,1.54
"396793 (2004 JN2)",0.6085,1.068,19.76,228.32,179.95,5.95,1.1
"396794 (2004 KT)",0.6643,1.854,43.63,267.91,238.47,63.77,2.53
"397237 (2006 KZ112)",0.8870,2.523,37.83,166.32,358.20,225.12,4.01
"397474 (2007 PP6)",0.8354,2.166,18.55,77.15,13.00,107.40,3.19
"397847 (2008 TA1)",0.4483,1.396,14.83,22.00,145.69,139.90,1.65
"399308 (1993 GD)",0.2381,1.102,15.46,201.42,202.11,220.82,1.16
"399325 (1999 GY5)",0.6148,1.146,24.43,203.38,232.23,336.48,1.23
"399433 (2001 YK4)",0.7770,2.654,4.38,155.70,210.84,112.87,4.32
"399457 (2002 PD43)",0.9563,2.507,25.94,315.04,210.99,223.99,3.97
"399774 (2005 NB7)",0.5174,2.044,12.70,199.16,348.16,237.64,2.92
"401856 (2000 KW43)",0.4779,1.452,24.27,82.62,63.60,18.63,1.75
"401857 (2000 PG3)",0.8554,2.825,22.04,323.56,141.25,5.57,4.75
"401925 (2002 AT15)",0.4752,1.894,36.38,108.40,266.52,295.10,2.61
"401998 (2003 MO)",0.8760,1.97,21.47,240.06,164.67,241.46,2.76
"404108 (2012 SF51)",0.6870,2.505,20.79,1.14,156.62,293.25,3.96
"405212 (2003 QC10)",0.7313,1.373,5.04,359.96,120.87,17.92,1.61
"405762 (2005 YO180)",0.4480,1.481,5.77,7.72,87.75,181.60,1.8
"406213 (2007 AB2)",0.5457,1.919,1.46,126.84,280.93,265.78,2.66
"406952 (2009 KJ)",0.7175,1.241,32.96,12.49,67.11,90.14,1.38
"407324 (2010 OB101)",0.5227,1.617,9.13,260.89,334.47,4.01,2.06
"407338 (2010 RQ30)",0.4761,1.584,4.92,137.44,7.91,265.43,1.99
"407653 (2011 QF3)",0.5122,2.054,9.77,172.61,315.37,63.57,2.94
"408752 (1991 TB2)",0.7922,2.046,7.93,291.88,199.40,78.21,2.93
"408792 (2000 GF2)",0.3777,1.341,9.63,176.01,108.10,243.93,1.55
"408980 (2002 RB126)",0.7227,1.43,15.03,6.83,225.01,5.57,1.71
"409836 (2006 QY110)",0.5741,1.924,6.40,222.61,221.63,261.88,2.67
"410088 (2007 EJ)",0.6294,2.501,8.33,61.74,3.62,176.53,3.96
"410627 (2008 RG1)",0.4431,1.316,13.09,347.79,257.45,298.99,1.51
"410777 (2009 FD)",0.4929,1.164,3.13,9.26,281.56,96.47,1.26
"410778 (2009 FG19)",0.7191,2.912,54.50,187.51,120.40,17.41,4.97
"411165 (2010 DF1)",0.5032,1.598,20.08,154.84,101.81,45.87,2.02
"412977 (1990 UO)",0.7727,1.257,31.59,205.58,333.53,330.55,1.41
"413989 (2007 EL88)",0.5218,1.12,30.84,198.44,116.16,235.72,1.18
"414287 (2008 OB9)",0.7597,3.203,13.50,202.70,238.56,262.76,5.73
"414429 (2009 DC43)",0.4894,1.801,20.85,84.23,172.86,141.33,2.42
"414772 (2010 OC103)",0.6720,1.195,23.11,17.94,178.33,94.31,1.31
"414800 (2010 SV3)",0.5154,1.512,6.18,23.97,224.62,251.17,1.86
"414990 (2011 EM51)",0.3353,1.321,1.86,134.15,142.26,285.47,1.52
"415027 (2011 SG5)",0.3865,1.31,26.63,229.79,26.59,298.73,1.5
"415029 (2011 UL21)",0.6536,2.123,34.89,275.32,285.00,50.22,3.09
"415745 (2000 GV147)",0.4570,1.747,10.56,68.64,216.11,194.22,2.31
"415987 (2002 AE9)",0.4362,1.122,37.89,127.45,129.19,325.81,1.19
"416151 (2002 RQ25)",0.3064,1.112,4.57,10.46,225.74,34.37,1.17
"416195 (2002 TR190)",0.1599,1.077,26.92,24.21,104.79,171.49,1.12
"416283 (2003 MM)",0.2562,1.053,8.54,127.60,19.82,354.88,1.08
"416591 (2004 LC2)",0.7347,1.865,10.98,84.25,290.72,333.82,2.55
"416694 (2004 YR32)",0.6983,3.069,20.44,89.90,89.06,244.27,5.38
"416801 (2005 GC120)",0.4974,1.193,16.54,67.93,258.31,273.19,1.3
"417211 (2005 XL80)",0.4872,1.727,10.91,53.31,143.78,63.13,2.27
"417581 (2006 VA3)",0.6782,1.603,53.37,312.92,307.77,256.55,2.03
"417612 (2006 WQ29)",0.3938,1.601,8.07,111.97,136.61,114.76,2.03
"417634 (2006 XG1)",0.5958,2.458,20.50,38.46,344.14,232.29,3.85
"417816 (2007 FA)",0.2657,1.25,16.33,156.40,135.44,132.23,1.4
"417871 (2007 MB24)",0.6999,1.876,47.71,271.11,269.13,288.97,2.57
"417874 (2007 NC5)",0.8870,2.445,19.29,165.84,20.58,197.41,3.82
"417949 (2007 TB23)",0.1977,1.262,38.29,40.10,173.86,173.05,1.42
"418094 (2007 WV4)",0.4407,1.486,38.34,249.86,297.67,50.43,1.81
"418135 (2008 AG33)",0.3367,1.459,16.01,38.29,155.54,156.61,1.76
"418233 (2008 DV)",0.4517,1.731,31.30,308.90,258.62,71.82,2.28
"418416 (2008 LV16)",0.6255,2.089,4.72,236.47,121.97,125.34,3.02
"418849 (2008 WM64)",0.1064,1.006,33.52,91.43,256.77,5.97,1.01
"418896 (2009 AK15)",0.4289,1.31,13.83,186.78,6.51,145.42,1.5
"418900 (2009 BE2)",0.3534,1.56,23.44,93.05,138.37,278.84,1.95
"419472 (2010 DW1)",0.2002,1.225,23.77,157.11,9.65,286.45,1.36
"419624 (2010 SO16)",0.0754,1.004,14.51,40.35,109.24,202.51,1.01
"419880 (2011 AH37)",0.6721,2.548,9.66,102.04,322.40,156.59,4.07
"419922 (2011 BJ24)",0.6413,2.404,8.09,191.06,188.89,257.65,3.73
"420048 (2011 DL19)",0.4121,1.609,28.21,274.09,293.79,218.88,2.04
"420210 (2011 HF)",0.2346,1.284,10.62,204.88,149.66,327.18,1.45
"420262 (2011 KD11)",0.4228,1.588,17.13,257.47,253.45,291.11,2
"420286 (2011 RZ)",0.5323,2.133,36.58,332.05,278.41,122.63,3.11
"420591 (2012 HF31)",0.4426,1.554,9.11,325.72,30.40,56.29,1.94
"422638 (1994 CB)",0.1451,1.149,18.26,310.62,288.54,242.28,1.23
"422699 (2000 PD3)",0.5920,1.999,7.70,298.64,110.23,171.27,2.83
"422787 (2001 WS1)",0.6184,2.591,13.24,1.29,5.23,175.00,4.17
"423022 (2003 TJ2)",0.4743,1.318,17.45,341.46,299.00,359.72,1.51
"423100 (2004 BX1)",0.8406,2.409,19.81,92.43,169.11,177.54,3.74
"423709 (2006 BQ6)",0.4049,1.472,13.00,307.62,304.80,96.61,1.79
"424392 (2007 YJ)",0.2798,1.103,3.31,28.87,199.39,59.24,1.16
"424482 (2008 DG5)",0.2426,1.255,5.71,244.01,59.72,166.89,1.41
"426071 (2012 CD29)",0.6486,1.025,19.29,144.71,152.42,357.45,1.04
"428209 (2006 VC)",0.4920,1.942,12.25,87.53,19.22,207.28,2.71
"428223 (2006 WW)",0.8679,2.682,32.72,88.19,197.95,47.68,4.39
"428694 Saule (2008 OS9)",0.6481,1.601,19.14,133.38,288.35,326.53,2.03
"429094 (2009 SG2)",0.1702,1.121,25.98,9.07,252.98,327.80,1.19
"429389 (2010 PR10)",0.1760,1.198,9.16,334.45,65.29,229.85,1.31
"429584 (2011 EU29)",0.6999,2.503,2.57,177.14,251.23,175.49,3.96
"429736 (2011 MB2)",0.4156,1.044,12.60,64.73,321.17,101.84,1.07
"430440 (2000 OH)",0.5931,2.421,18.75,283.62,355.55,156.99,3.77
"430544 (2002 GM2)",0.8068,2.201,3.35,338.95,84.77,355.67,3.26
"430804 (2005 AD13)",0.7549,1.949,12.38,102.74,263.66,115.72,2.72
"431698 (2008 ES)",0.7568,2.296,9.12,134.25,164.73,243.01,3.48
"431760 (2008 HE)",0.9506,2.262,9.84,215.32,185.38,318.34,3.4
"432509 (2010 FF7)",0.8281,1.405,16.18,61.03,342.53,310.77,1.67
"433303 (2013 NX)",0.1697,1.032,6.32,112.62,312.66,147.69,1.05
"433939 (1995 DW1)",0.4369,1.04,15.06,348.80,327.06,219.02,1.06
"433953 (1997 XR2)",0.2008,1.076,7.19,250.66,84.65,91.54,1.12
"434096 (2002 GO5)",0.7679,1.896,13.77,22.60,65.35,244.76,2.61
"434188 (2003 AD23)",0.7627,1.645,23.34,101.48,241.67,152.29,2.11
"434196 (2003 HG2)",0.1346,1.062,19.78,214.24,225.40,345.51,1.09
"434344 (2004 RV10)",0.2856,1.377,36.87,161.52,272.43,93.73,1.62
"434500 (2005 SB71)",0.2573,1.264,13.21,200.58,100.46,191.04,1.42
"434632 (2005 WE)",0.2513,1.151,12.37,289.92,22.65,185.52,1.24
"434633 (2005 WB1)",0.3554,1.264,22.88,61.41,265.73,164.11,1.42
"434677 (2006 BZ7)",0.3665,1.49,68.42,262.95,188.79,101.09,1.82
"434734 (2006 FX)",0.4380,1.495,24.64,181.15,299.49,83.19,1.83
"434740 (2006 GZ)",0.3799,1.528,12.49,25.58,292.49,210.74,1.89
"434786 (2006 PW)",0.6514,1.381,35.91,132.92,325.15,1.27,1.62
"435159 (2007 LQ19)",0.6299,2.605,17.06,110.83,207.69,40.28,4.21
"435441 (2008 DJ5)",0.4179,1.254,8.07,358.87,326.77,189.10,1.4
"435548 (2008 QT3)",0.5285,2.012,7.25,271.90,160.98,196.12,2.85
"436037 (2009 NJ)",0.6581,1.869,8.24,254.38,132.84,319.96,2.55
"436325 (2010 GR7)",0.8456,1.831,24.13,157.56,192.01,276.15,2.48
"436329 (2010 GX62)",0.6990,2.971,21.83,206.93,317.00,316.16,5.12
"436568 (2011 HB53)",0.7028,2.364,30.00,83.72,351.09,280.42,3.64
"436724 (2011 UW158)",0.3765,1.621,4.57,285.95,8.82,174.09,2.06
"436761 (2012 DN)",0.5932,2.235,19.95,143.25,247.34,338.64,3.34
"436763 (2012 FN52)",0.6651,1.979,22.62,93.09,350.36,219.30,2.78
"436774 (2012 KY3)",0.4864,1.232,21.39,21.51,87.25,78.98,1.37
"436775 (2012 LC1)",0.7644,2.01,34.39,53.73,52.44,134.82,2.85
"437316 (2013 OS3)",0.4684,1.829,29.89,297.59,224.67,314.18,2.47
"437846 (1999 RJ27)",0.3527,1.479,25.78,170.27,64.41,60.89,1.8
"437905 (2001 XU30)",0.6637,2.198,8.93,72.00,107.12,348.02,3.26
"437965 (2003 AL73)",0.6946,2.541,9.65,217.33,336.40,117.58,4.05
"437994 (2003 UL12)",0.7032,3.28,19.81,192.73,275.25,176.86,5.94
"438017 (2003 YO3)",0.3663,1.45,24.61,291.36,168.77,317.79,1.75
"438105 (2005 GO22)",0.8234,1.914,1.56,61.76,19.09,153.06,2.65
"438107 (2005 GY110)",0.6864,1.849,12.65,294.60,169.14,291.55,2.51
