"full_name","e","a","i","om","w","ma","per_y"
" 41429 (2000 GE2)",0.5553,1.593,2.17,351.91,297.20,42.91,2.01
" 42286 (2001 TN41)",0.3917,1.419,24.08,55.82,150.95,108.64,1.69
" 52340 (1992 SY)",0.5477,2.212,8.08,5.24,116.34,218.94,3.29
" 52750 (1998 KK17)",0.5249,1.427,11.17,141.31,334.15,226.92,1.7
" 52760 (1998 ML14)",0.6233,2.409,2.43,338.68,20.37,347.09,3.74
" 52762 (1998 MT24)",0.6530,2.416,33.86,308.94,254.53,29.20,3.76
" 52768 (1998 OR2)",0.5755,2.38,5.88,26.94,174.59,81.21,3.67
" 53319 (1999 JM8)",0.6414,2.724,13.84,133.62,166.80,228.77,4.49
" 53409 (1999 LU7)",0.6282,2.101,10.88,206.68,147.77,84.64,3.04
" 53426 (1999 SL5)",0.5391,1.923,22.77,239.06,43.36,167.90,2.67
" 53429 (1999 TF5)",0.6410,2.022,26.78,199.16,64.09,281.57,2.87
" 53550 (2000 BF19)",0.4196,1.495,7.17,313.14,324.95,67.25,1.83
" 53789 (2000 ED104)",0.2692,1.371,40.78,190.02,218.35,236.89,1.6
" 54509 YORP (2000 PH5)",0.2300,1.006,1.60,278.19,279.00,99.36,1.01
" 55408 (2001 TC2)",0.2245,1.1,30.39,193.83,353.55,206.45,1.15
" 55532 (2001 WG2)",0.6957,1.794,38.55,81.40,132.40,134.29,2.4
" 65690 (1991 DG)",0.3632,1.428,11.14,180.10,63.37,212.30,1.71
" 65717 (1993 BX3)",0.2810,1.395,2.81,174.75,290.95,104.62,1.65
" 65733 (1993 PC)",0.4743,1.154,4.14,336.90,168.72,235.98,1.24
" 65803 Didymos (1996 GT)",0.3833,1.643,3.41,72.99,319.60,339.93,2.11
" 65909 (1998 FH12)",0.5397,1.091,3.56,108.59,284.51,196.93,1.14
" 66008 (1998 QH2)",0.3627,1.426,61.00,168.93,14.01,270.26,1.7
" 66253 (1999 GT3)",0.8379,1.334,19.50,157.34,261.13,243.40,1.54
" 67381 (2000 OL8)",0.5430,1.321,10.67,294.84,266.96,38.01,1.52
" 67399 (2000 PJ6)",0.3462,1.301,14.69,332.86,225.33,206.30,1.48
" 68216 (2001 CV26)",0.3267,1.32,17.99,18.13,48.74,301.79,1.52
" 68267 (2001 EA16)",0.4273,1.51,38.83,8.00,317.44,163.23,1.85
" 68346 (2001 KZ66)",0.4166,1.507,16.70,219.37,140.29,133.79,1.85
" 68348 (2001 LO7)",0.8410,2.155,25.37,236.22,181.66,52.81,3.16
" 68372 (2001 PM9)",0.4160,1.618,8.11,252.96,322.33,157.97,2.06
" 68548 (2001 XR31)",0.4368,1.707,22.72,302.02,24.71,186.50,2.23
" 68950 (2002 QF15)",0.3443,1.057,25.15,236.21,255.57,54.57,1.09
" 69230 Hermes (1937 UB)",0.6239,1.655,6.07,34.05,92.90,279.39,2.13
" 85182 (1991 AQ)",0.7777,2.22,3.12,339.40,243.23,59.27,3.31
" 85236 (1993 KH)",0.3110,1.234,12.81,54.36,293.82,252.62,1.37
" 85585 Mjolnir (1998 FG2)",0.3563,1.298,4.08,2.31,95.42,37.53,1.48
" 85640 (1998 OX4)",0.4859,1.58,4.52,299.57,117.30,15.27,1.99
" 85713 (1998 SS49)",0.6388,1.923,10.79,40.95,103.13,239.57,2.67
